"geographicAreaM49","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"894","511","2022",20152.938,"X","h"
"894","511","2021",19603.6075,"X","h"
"894","511","2020",19059.395,"X","h"
"894","511","2019",18513.8395,"X","h"
"894","511","2018",17973.569,"X","h"
"894","511","2017",17441.3195,"X","h"
"894","511","2016",16914.423,"X","h"
"894","511","2015",16399.0885,"X","h"
"894","511","2014",15895.315,"X","h"
"894","511","2013",15398.997,"X","h"
"894","511","2012",14913.629,"X","h"
"894","511","2011",14437.7955,"X","h"
"894","511","2010",13965.594,"X","h"
"894","511","2009",13490.3895,"X","h"
"894","511","2008",13021.324,"X","h"
"894","511","2007",12565.0855,"X","h"
"894","511","2006",12129.553,"X","h"
"894","511","2005",11718.819,"X","h"
"894","511","2004",11338.198,"X","h"
"894","511","2003",10983.595,"X","h"
"894","511","2002",10647.949,"X","h"
"894","511","2001",10325.1855,"X","h"
"894","511","2000",10017.6315,"X","h"
